conversation_id,company,context,channel,tone,language,customer_issue,customer_goal,agent_goal,resolved,num_interactions,duration_sec,csat_estimated_1_5,next_action,followup_needed,summary
c4a2f8a7-7d1e-4e8f-91d1-3b1f5c9a6e21,Kavak,buying,telefono,formal,es,"Solicita vender su coche y recibir oferta en menos de 24 horas; pide proceso, documentos y tiempos.",Conocer el proceso y agendar para obtener una oferta en <24h.,"Explicar pasos, requisitos, tiempos y agendar inspección para generar oferta en <24h.",True,8,360,5,"Enviar SMS/correo con cita de inspección hoy 17:30, checklist de documentos y enlace seguro para prevaluación y datos bancarios; realizar inspección para emitir oferta final.",True,"Se explicó proceso de compra del auto, requisitos documentales, inspección, KYC, tiempos de oferta y pago. Se propuso y confirmó agendar inspección hoy para emitir oferta en el mismo día."
conv-20251023-0001,Kavak,buying,webchat,amable,es,"Quiere vender su coche y recibir una oferta en menos de 24 horas. Pide proceso, documentos y tiempos.",Obtener una oferta <24h y conocer requisitos y plazos.,"Explicar el proceso de compra del auto, documentos requeridos, tiempos y coordinar la inspección/pre-evaluación.",False,4,320,5,"Crear folio, enviar formulario seguro para fotos y documentos, y agendar inspección física (a domicilio o en centro) para oferta final.",True,"El cliente quiere vender su coche y obtener oferta <24h. Se explicó proceso, documentos, tiempos, KYC y pagos. Se propone agendar inspección y enviar formulario seguro; falta recibir VIN/placas y confirmar horario."
c0a1cdd2-5f9e-4e2c-8b89-37c8c8b4d6e2,Kavak,buying,email,amable,en,"Customer wants to sell their car and receive an offer in under 24 hours; asks about process, required documents, and timelines.",Get a firm offer within 24 hours and understand steps/documents.,"Explain process, list required docs and timelines, and book an inspection within 24 hours.",False,2,900,5,"Await customer’s VIN, mileage, city, photos, and preferred times to schedule a same/next-day inspection and send a preliminary offer within 24 hours.",True,"Agent explained the fast-sale process, documents (ID, proof of address, bank details, title/registration, lien release if any), inspection timing, and payment window; awaiting details to book inspection."
KVK-2025-10-23-0142,Kavak,buying,telefono,formal,en,"Wants to sell a car and receive an offer in under 24 hours; asks about process, documents, and timelines.","Understand steps and required documents, and secure a firm offer within 24 hours.","Explain process and compliance, set expectations, collect availability, and schedule inspection to deliver an offer within the requested timeframe.",True,6,320,5,Send confirmation SMS/email with secure upload link; customer to upload documents and confirm address; conduct home inspection today at 3:30 PM; issue final offer post-inspection.,True,"Inspection scheduled for today at 3:30 PM (home). Customer informed of process, required documents, KYC, same-day offer after inspection, and payment timelines."
whatsapp-9841,Kavak,buying,whatsapp,formal,es,"Quiere vender su coche, conocer proceso, documentos y tiempos, y recibir oferta en menos de 24 h.",Obtener oferta <24 h y concretar la venta del coche.,"Explicar proceso, requisitos (docs/KYC), tiempos y agendar inspección para emitir oferta en <24 h.",False,8,520,5,Enviar enlace seguro para carga de fotos y confirmar inspección a domicilio hoy 17:30; folio KVK-27491 abierto.,True,"Se explicó proceso de compra de auto por Kavak, documentos requeridos y tiempos. Se programó inspección a domicilio hoy 17:30 en CDMX y se abrió folio KVK-27491. Pre‑oferta hoy tras fotos; pago por SPEI <24 h posterior a firma y entrega. KYC: verificación de identidad y titularidad de cuenta. Garantía/crédito no aplican al vendedor."
3f4c2d8e-5a10-4f45-8a8a-9e9a3b2f6f51,Kavak,buying,whatsapp,apologético,es,"Quiere vender su coche y recibir una oferta en menos de 24 horas; pide proceso, documentos y tiempos.",Recibir una oferta rápida (<24h) y saber requisitos.,"Explicar proceso, documentos, tiempos, cumplir KYC y agendar inspección para emitir oferta en <24h.",False,6,620,4,"Confirmar disponibilidad de inspección a domicilio hoy 17:00–19:00 en CDMX; si no hay cupo, agendar a primera hora de mañana. Enviar formulario seguro para datos/fotos y validar documentos/KYC antes de la firma.",True,"Agente explicó proceso, documentos, tiempos, KYC y opciones de crédito/garantía. Cliente compartió datos y horario; se levantó solicitud y se espera confirmación de agenda para inspección y oferta <24h."
c6f3e6a2-2a4d-4d1e-8c9a-9a51b9d7f3ab,Kavak,buying,webchat,empático,es,"Quiere vender su coche y recibir una oferta en menos de 24 horas; pide proceso, documentos y tiempos.",Obtener pre-oferta <24h y saber requisitos para vender su coche.,"Explicar proceso, requerir documentos, cumplir KYC, tiempos de inspección y pago, y agendar cita.",True,6,360,5,"Enviar formulario seguro; cliente sube fotos y documentos hoy; realizar inspección a domicilio mañana 17:30; emitir pre‑oferta <24h y, tras inspección, oferta final y pago por SPEI.",True,"Se explicó proceso de compra del auto por Kavak, documentos requeridos, KYC, tiempos de pre‑oferta (<24h), inspección y pago (24–48h hábiles). Se agendó inspección a domicilio y se envió el formulario para cargar fotos y documentos."
8a1f7a5b-786a-4d4a-9e7a-2f10f3c3f7a9,Kavak,buying,telefono,resolutivo,es,"Quiere vender su coche y recibir una oferta en menos de 24 horas; pide proceso, documentos y tiempos.",Obtener una oferta <24h y saber requisitos y tiempos de pago.,"Explicar proceso de venta, documentos, tiempos de oferta y pago; agendar inspección y enviar enlace de carga de documentos.",True,10,164,5,"Enviar SMS con enlace para precargar documentos y validación de identidad, más confirmación de cita de inspección hoy a las 18:00 y checklist.",False,"Se agendó inspección para hoy 18:00. Cliente informado de pasos, documentos, KYC, tiempos de oferta (<24h) y pago por SPEI (<24h hábiles)."
webchat-2025-10-23-001,Kavak,buying,webchat,amable,es,"Quiere vender su coche y recibir una oferta en menos de 24 horas; solicita proceso, documentos y tiempos.",Obtener una oferta rápida y entender requisitos/documentación.,"Explicar pasos, documentos, tiempos y proponer cita de inspección.",False,6,320,5,Recabar datos de contacto del cliente y agendar inspección para mañana; enviar link para prevaluación y carga de documentos.,True,"Se explicó proceso, documentos, tiempos y pago por transferencia. Cliente quiere cita mañana; agente solicitará datos para agendar y enviar link."
KAV-2025-10-23-7842,Kavak,buying,email,resolutivo,es,"Quiere vender su coche y obtener una oferta en menos de 24 h; pide proceso, documentos y tiempos.",Recibir una oferta <24 h y conocer requisitos y tiempos de pago.,"Explicar proceso, KYC, inspección, pagos y agendar la inspección; solicitar datos y fotos para oferta preliminar.",False,4,1800,5,Cliente sube fotos y documentos hoy; agente agenda y confirma la inspección para mañana 11:30 y envía confirmación con checklist.,True,"Se explicó proceso de compra del auto por Kavak, requisitos KYC, inspección y tiempos de pago. Se abrió ticket y se propuso cita de inspección; queda pendiente que el cliente suba fotos/docs y confirme la ubicación."
